Interface_Temp,Fan_FanTray1Fan1Sensor1,Fan_FanTray2Fan1Sensor1,Fan_FanTray3Fan1Sensor1,Fan_FanTray4Fan1Sensor1,rack_unit,Device_local_sn,SFP_manufacturer,SFP_model,fan_speed_mean
70.1,12875,12931,12875,12820,1,JPE22183196,AOI,AQPLBCQ4EDMA1072,12875.25
70.1,12048,12048,12048,12048,1,SGD22056675,AOI,AQPLBCQ4EDMA1072,12048.0
69.9,15228,15228,15151,15151,1,SGD22056998,AOI,AQPLBCQ4EDMA1072,15189.5
69.9,12000,12048,12048,12000,1,JPE22200539,AOI,AQPLBCQ4EDMA1072,12024.0
69.8,12345,12552,12500,12605,1,SGD22057282,AOI,AQPLBCQ4EDMA1072,12500.5
69.4,12000,12048,12048,12000,1,JPE22200539,AOI,AQPLBCQ4EDMA1072,12024.0
68.5,14705,14705,14705,14705,1,JPE21312037,AOI,AQPLBCQ4EDMA1072,14705.0
68.4,12048,12048,12048,12048,1,SGD22056675,AOI,AQPLBCQ4EDMA1072,12048.0
68.4,12295,12295,12345,12345,1,SGD21068068,AOI,AQPLBCQ4EDMA1072,12320.0
67.9,12000,12048,12000,12000,1,SGD21016753,AOI,AQPLBCQ4EDMA1072,12012.0
67.9,13100,13157,13100,13100,2,SGD22074231,AOI,AQPLBCQ4EDMA1072,13114.25
67.9,12048,12048,12048,12048,1,SGD22056675,AOI,AQPLBCQ4EDMA1072,12048.0
67.6,12875,12931,12875,12820,1,JPE22183196,AOI,AQPLBCQ4EDMA1072,12875.25
67.6,12048,12048,12048,12048,1,SGD22056675,AOI,AQPLBCQ4EDMA1072,12048.0
67.5,12658,12658,12605,12658,1,SGD21036300,AOI,AQPLBCQ4EDMA1072,12644.75
67.5,14705,14705,14705,14705,1,JPE21312037,AOI,AQPLBCQ4EDMA1072,14705.0
67.4,12658,12658,12605,12658,1,SGD21036300,AOI,AQPLBCQ4EDMA1072,12644.75
67.2,25500,25423,25423,25423,6,JPE22230482,Intel Corp,SPTSHP2PMCDF,25442.25
67.2,12048,12048,12048,12048,1,SGD22056675,AOI,AQPLBCQ4EDMA1072,12048.0
67.2,12345,12552,12500,12605,1,SGD22057282,AOI,AQPLBCQ4EDMA1072,12500.5
67.0,12987,12931,12987,12987,3,SGD22074873,AOI,AQPLBCQ4EDMA1072,12973.0
66.9,12987,12931,12987,12987,3,SGD22074873,AOI,AQPLBCQ4EDMA1072,12973.0
66.8,12500,12500,12500,12396,2,JPE22100092,AOI,AQPLBCQ4EDMA1072,12474.0
66.7,13513,13513,13574,13513,1,SGD22074225,AOI,AQPLBCQ4EDMA1072,13528.25
66.6,13100,13100,13157,13157,1,JPE20482206,AOI,AQPLBCQ4EDMA1072,13128.5
66.6,12295,12295,12345,12345,1,SGD21068068,AOI,AQPLBCQ4EDMA1072,12320.0
66.5,12048,12048,12048,12048,1,SGD22056675,AOI,AQPLBCQ4EDMA1072,12048.0
66.5,14492,14563,14492,14492,1,SGD21493003,AOI,AQPLBCQ4EDMA1072,14509.75
66.5,12000,12048,12048,12000,1,JPE22200539,AOI,AQPLBCQ4EDMA1072,12024.0
66.4,13100,13157,13100,13100,2,SGD22074231,AOI,AQPLBCQ4EDMA1072,13114.25
66.4,12500,12500,12500,12396,2,JPE22100092,AOI,AQPLBCQ4EDMA1072,12474.0
66.4,15228,15228,15151,15151,1,SGD22056998,AOI,AQPLBCQ4EDMA1072,15189.5
66.3,12000,12048,12000,12000,1,SGD21016753,AOI,AQPLBCQ4EDMA1072,12012.0
66.2,14492,14563,14492,14492,1,SGD21493003,AOI,AQPLBCQ4EDMA1072,14509.75
66.2,12195,12195,12145,12195,1,SGD21242698,AOI,AQPLBCQ4EDMA1072,12182.5
66.1,12048,12048,12048,12048,1,SGD22056675,AOI,AQPLBCQ4EDMA1072,12048.0
66.0,13157,13157,13100,13157,3,SGD22075489,AOI,AQPLBCQ4EDMA1072,13142.75
66.0,17500,17441,17500,17500,4,SGD21436261,Finisar,FCBN425QF1C02-OR,17485.25
66.0,13215,13157,13157,13157,1,SGD21302094,AOI,AQPLBCQ4EDMA1072,13171.5
65.9,14492,14492,14492,14492,1,SGD21068037,AOI,AQPLBCQ4EDMA1072,14492.0
65.9,12500,12500,12500,12396,2,JPE22100092,AOI,AQPLBCQ4EDMA1072,12474.0
65.9,12295,12295,12345,12345,1,SGD21068068,AOI,AQPLBCQ4EDMA1072,12320.0
65.9,12000,12048,12000,12000,1,SGD21016753,AOI,AQPLBCQ4EDMA1072,12012.0
65.8,13274,13274,13215,13215,1,SGD21302437,AOI,AQPLBCQ4EDMA1072,13244.5
65.8,14218,14150,14218,14150,6,SGD22074049,AOI,AQPLBCQ4EDMA1072,14184.0
65.7,13100,13157,13100,13100,2,SGD22074231,AOI,AQPLBCQ4EDMA1072,13114.25
65.7,13100,13100,13157,13157,1,JPE20482206,Finisar,FCBN425QF1C10-OR,13128.5
65.7,12295,12295,12345,12345,1,SGD21068068,AOI,AQPLBCQ4EDMA1072,12320.0
65.7,13100,13100,13157,13157,1,JPE20482206,AOI,AQPLBCQ4EDMA1072,13128.5
65.6,13157,13157,13100,13157,3,SGD22075489,AOI,AQPLBCQ4EDMA1072,13142.75
65.6,14492,14563,14492,14492,1,SGD21493003,Finisar,FCBN425QF1C02-OR,14509.75
65.6,13636,13574,13574,13574,1,JPE22097831,AOI,AQPLBCQ4EDMA1072,13589.5
65.6,13274,13274,13215,13215,1,SGD21302437,AOI,AQPLBCQ4EDMA1072,13244.5
65.6,17500,17500,17500,17500,1,SGD22074868,Finisar,FCBN425QF1C02-OR,17500.0
65.5,12875,12931,12875,12820,1,JPE22183196,AOI,AQPLBCQ4EDMA1072,12875.25
65.5,12875,12931,12875,12820,1,JPE22183196,AOI,AQPLBCQ4EDMA1072,12875.25
65.5,14925,14925,14925,14925,1,SGD22057077,AOI,AQPLBCQ4EDMA1072,14925.0
65.5,13100,13157,13100,13100,2,SGD22074231,AOI,AQPLBCQ4EDMA1072,13114.25
65.4,12500,12552,12552,12552,1,SGD21520710,AOI,AQPLBCQ4EDMA1072,12539.0
65.4,12345,12552,12500,12605,1,SGD22057282,AOI,AQPLBCQ4EDMA1072,12500.5
65.4,13513,13513,13574,13513,1,SGD22074225,AOI,AQPLBCQ4EDMA1072,13528.25
65.4,14492,14492,14492,14492,1,SGD21068037,AOI,AQPLBCQ4EDMA1072,14492.0
65.4,12448,12448,12500,12552,5,SGD21301599,AOI,AQPLBCQ4EDMA1072,12487.0
65.4,15706,15706,15789,15789,2,SGD22074334,AOI,AQPLBCQ4EDMA1072,15747.5
65.3,12987,12931,12987,12987,3,SGD22074873,AOI,AQPLBCQ4EDMA1072,12973.0
65.3,15384,15463,15384,15151,12,JPE22230215,Intel Corp,SPTSHP2PMCDF,15345.5
65.3,12500,12500,12500,12396,2,JPE22100092,AOI,AQPLBCQ4EDMA1072,12474.0
65.3,12048,12096,12048,12048,2,SGD21302097,AOI,AQPLBCQ4EDMA1072,12060.0
65.3,16393,16216,16304,16304,6,JPE22230163,Intel Corp,SPTSHP2PMCDF,16304.25
65.3,14492,14492,14492,14492,1,SGD21068037,AOI,AQPLBCQ4EDMA1072,14492.0
65.3,12396,12396,12396,12396,2,JPE20481790,Finisar,FCBN425QF1C10-OR,12396.0
65.3,12987,12875,12931,12875,1,JPE21312141,Accelight,AQP100C-C-LRL,12917.0
65.3,14705,14705,14705,14705,1,JPE21312037,AOI,AQPLBCQ4EDMA1072,14705.0
65.3,12500,12500,12500,12396,2,JPE22100092,AOI,AQPLBCQ4EDMA1072,12474.0
65.2,16666,16574,16853,16759,33,JPA22473684,Intel Corp,SPTSHP2PMCDF,16713.0
65.2,12195,12195,12145,12195,1,SGD21242698,Finisar,FCBN425QF1C10-OR,12182.5
65.2,13100,13100,13157,13157,1,JPE20482206,AOI,AQPLBCQ4EDMA1072,13128.5
65.2,13043,13333,13392,13392,18,JPA22231438,Intel Corp,SPTSHP2PMCDF,13290.0
65.2,12500,12500,12500,12396,2,JPE22100092,AOI,AQPLBCQ4EDMA1072,12474.0
65.2,16129,14634,14925,14634,18,JPE22230157,Intel Corp,SPTSHP2PMCDF,15080.5
65.2,15463,15706,15306,15228,32,JPE21071603,Intel Corp,SPTSHP2PMCDF,15425.75
65.2,12396,12396,12396,12396,2,JPE20481790,Finisar,FCBN425QF1C10-OR,12396.0
65.2,16216,15873,15873,15789,37,JPE21045775,Intel Corp,SPTSHP2PMCDF,15937.75
65.2,12500,12552,12552,12552,1,SGD21520710,Finisar,FCBN425QF1C02-OR,12539.0
65.2,14285,14354,14354,14354,34,JPA22473383,Intel Corp,SPTSHP2PMCDF,14336.75
65.2,14705,14705,14705,14705,1,JPE21312037,AOI,AQPLBCQ4EDMA1072,14705.0
65.2,13215,13636,13215,13274,11,JPE21045668,Intel Corp,SPTSHP2PMCDF,13335.0
65.2,14492,14851,14563,14778,38,JPE21071535,Intel Corp,SPTSHP2PMCDF,14671.0
65.2,12295,12295,12345,12345,1,SGD21068068,Finisar,FCBN425QF1C10-OR,12320.0
65.2,18518,18633,18518,18750,34,JPA22231736,Intel Corp,SPTSHP2PMCDF,18604.75
65.2,14778,14492,14634,14925,24,JPE22230127,Intel Corp,SPTSHP2PMCDF,14707.25
65.2,14778,14851,15000,14851,21,JPE22230501,Intel Corp,SPTSHP2PMCDF,14870.0
65.2,15706,15228,15789,15306,15,JPA22231686,Intel Corp,SPTSHP2PMCDF,15507.25
65.1,13888,13824,13888,13953,21,JPA22231471,Intel Corp,SPTSHP2PMCDF,13888.25
65.1,12987,12875,12931,12875,1,JPE21312141,Accelight,AQP100C-C-LRL,12917.0
65.1,14150,13888,14084,14018,33,JPA22473494,Intel Corp,SPTSHP2PMCDF,14035.0
65.1,15000,14563,14634,14925,31,JPE21071549,Intel Corp,SPTSHP2PMCDF,14780.5
65.1,13452,13636,13392,12765,18,JPE22200044,Intel Corp,SPTSHP2PMCDF,13311.25
65.1,14705,14705,14705,14634,2,JPE21302236,Accelight,AQP100C-C-LRL,14687.25
65.1,15151,15151,15228,15228,1,SGD21470636,Accelight,AQP100C-C-LRL,15189.5
65.1,15706,15228,15789,15306,15,JPA22231686,Intel Corp,SPTSHP2PMCDF,15507.25
65.1,14150,14423,14778,14634,32,JPE21071497,Intel Corp,SPTSHP2PMCDF,14496.25
65.1,16759,16949,16949,16666,18,JPA22231727,Intel Corp,SPTSHP2PMCDF,16830.75
65.1,15706,15706,15789,15706,31,JPA22473377,Intel Corp,SPTSHP2PMCDF,15726.75
65.1,16304,16666,16574,16393,15,JPE22230201,Intel Corp,SPTSHP2PMCDF,16484.25
65.1,15306,15463,15151,15306,5,JPA22231668,Intel Corp,SPTSHP2PMCDF,15306.5
65.1,15000,14925,15075,15228,24,JPE22230186,Intel Corp,SPTSHP2PMCDF,15057.0
65.1,15873,15789,15706,15789,39,JPA22242247,Intel Corp,SPTSHP2PMCDF,15789.25
65.1,12820,12820,12820,12820,1,JPE21270982,Accelight,AQP100C-C-LRL,12820.0
65.1,17857,17751,17751,18072,24,JPE22200103,Intel Corp,SPTSHP2PMCDF,17857.75
65.1,17241,16853,16759,17045,37,JPA22231679,Intel Corp,SPTSHP2PMCDF,16974.5
65.1,15228,15306,15228,15544,11,JPA22362581,Intel Corp,SPTSHP2PMCDF,15326.5
65.1,15706,15873,16393,16574,39,JPA22473449,Intel Corp,SPTSHP2PMCDF,16136.5
65.1,12605,12658,12658,12500,40,JPE21032979,Intel Corp,SPTSHP2PMCDF,12605.25
65.1,11904,12145,12000,11952,15,JPE22230182,Finisar,FTCD4523E2PCM-4A,12000.25
65.1,16483,16216,16574,16666,4,JPA22231710,Intel Corp,SPTSHP2PMCDF,16484.75
65.1,15706,15625,15873,15306,9,JPE22201700,Intel Corp,SPTSHP2PMCDF,15627.5
65.1,16949,16949,16574,16304,5,JPE22230147,Intel Corp,SPTSHP2PMCDF,16694.0
65.1,12244,12195,12244,12345,6,JPA22231448,Finisar,FTCD4523E2PCM-4A,12257.0
65.1,16304,16042,15873,16129,9,JPA22231706,Intel Corp,SPTSHP2PMCDF,16087.0
65.1,12987,13043,13043,13100,2,SGD21068152,Accelight,AQP100C-C-LRL,13043.25
65.1,13761,13636,13636,13698,1,JPE22031016,Finisar,FCBN425QF1C02-OR,13682.75
65.1,16393,16574,16304,16759,3,JPE22230494,Intel Corp,SPTSHP2PMCDF,16507.5
65.1,15075,15075,15228,15706,5,JPA22364114,Intel Corp,SPTSHP2PMCDF,15271.0
65.1,18181,17964,17964,18750,4,JPA22231681,Intel Corp,SPTSHP2PMCDF,18214.75
65.1,15306,15306,15306,15151,21,JPE22230192,Intel Corp,SPTSHP2PMCDF,15267.25
65.1,12931,12711,12875,12820,3,JPE22201668,Intel Corp,SPTSHP2PMCDF,12834.25
65.1,17441,17543,17241,17341,12,JPE22230188,Intel Corp,SPTSHP2PMCDF,17391.5
65.1,16129,15544,15625,15706,38,JPA22231457,Intel Corp,SPTSHP2PMCDF,15751.0
65.1,16216,16304,16042,16042,33,JPE21032980,Intel Corp,SPTSHP2PMCDF,16151.0
65.1,15544,15544,15544,15544,1,JPE20455038,Accelight,AQP100C-C-LRL,15544.0
65.1,15463,15625,15384,15151,9,JPE22230198,Intel Corp,SPTSHP2PMCDF,15405.75
65.1,18987,19230,18867,18987,40,JPA22231669,Intel Corp,SPTSHP2PMCDF,19017.75
65.1,12931,12987,12931,12987,2,JPE21410670,Finisar,FCBN425QF1C10-OR,12959.0
65.1,14218,14778,14851,14018,15,JPA22231445,Intel Corp,SPTSHP2PMCDF,14466.25
65.1,14925,14925,15000,14563,10,JPA22242051,Intel Corp,SPTSHP2PMCDF,14853.25
65.1,13824,13513,13953,13636,9,JPE21045690,Intel Corp,SPTSHP2PMCDF,13731.5
65.1,15873,15873,15789,15789,7,JPE21322519,Accelight,AQP100C-C-LRL,15831.0
65.1,15000,15075,15151,15000,11,JPA22241182,Intel Corp,SPTSHP2PMCDF,15056.5
65.1,16042,15625,16216,16216,18,JPE22201589,Intel Corp,SPTSHP2PMCDF,16024.75
65.1,16042,16042,16129,16042,38,JPA22231458,Intel Corp,SPTSHP2PMCDF,16063.75
65.1,13043,13274,13157,13100,1,JPE21314506,Accelight,AQP100C-C-LRL,13143.5
65.1,16216,16042,16574,15957,11,JPE22200150,Intel Corp,SPTSHP2PMCDF,16197.25
65.1,15384,15306,15306,15306,11,JPA22231447,Intel Corp,SPTSHP2PMCDF,15325.5
65.1,12875,12931,12931,12931,3,SGD21301637,Finisar,FCBN425QF1C10-OR,12917.0
65.1,15957,15706,16042,15873,39,JPE22230492,Intel Corp,SPTSHP2PMCDF,15894.5
65.1,16042,16042,15706,15957,32,JPE22230231,Intel Corp,SPTSHP2PMCDF,15936.75
65.1,15873,15306,15306,16042,9,JPA22241154,Intel Corp,SPTSHP2PMCDF,15631.75
65.1,12096,12145,12096,12096,37,JPE21032872,Intel Corp,SPTSHP2PMCDF,12108.25
65.1,14084,14218,13953,13953,32,JPA22362474,Intel Corp,SPTSHP2PMCDF,14052.0
65.1,14218,14150,14218,14150,6,SGD22074049,AOI,AQPLBCQ4EDMA1072,14184.0
65.1,14423,14492,14423,14285,3,JPE21312162,Accelight,AQP100C-C-LRL,14405.75
65.1,16666,16483,16216,16393,3,JPE22230234,Intel Corp,SPTSHP2PMCDF,16439.5
65.1,15873,16216,16042,15957,9,JPA22362450,Intel Corp,SPTSHP2PMCDF,16022.0
65.0,16483,16483,16129,16304,9,JPA22331468,Intel Corp,SPTSHP2PMCDF,16349.75
65.0,13888,14492,14563,14423,24,JPE22230226,Intel Corp,SPTSHP2PMCDF,14341.5
65.0,17857,17751,17751,18072,24,JPE22200103,Intel Corp,SPTSHP2PMCDF,17857.75
65.0,14634,14925,14563,14705,10,FGN2322031P,Intel Corp,SPTSHP2PMCDF,14706.75
65.0,14150,14150,14084,14084,18,JPE22230130,Intel Corp,SPTSHP2PMCDF,14117.0
65.0,14563,14563,13824,14492,33,FGN2318093N,Intel Corp,SPTSHP2PMCDF,14360.5
65.0,13100,13100,13157,13157,1,JPE20482206,Finisar,FCBN425QF1C10-OR,13128.5
65.0,15706,15957,15306,15463,9,JPA22231478,Intel Corp,SPTSHP2PMCDF,15608.0
65.0,14634,14925,14563,14705,10,FGN2322031P,Intel Corp,SPTSHP2PMCDF,14706.75
65.0,15789,15957,15706,15706,12,JPE22230142,Intel Corp,SPTSHP2PMCDF,15789.5
65.0,13888,14084,13888,13953,24,JPA22242052,Intel Corp,SPTSHP2PMCDF,13953.25
65.0,13636,13636,13636,13636,2,SGD21302447,Finisar,FCBN425QF1C02-OR,13636.0
65.0,13888,14285,13953,14218,6,JPA22473529,Intel Corp,SPTSHP2PMCDF,14086.0
65.0,9118,8450,25500,9202,21,JPE22230233,Finisar,FTCD4523E2PCM-4A,13067.5
65.0,15544,15228,15151,15706,33,JPA22231748,Intel Corp,SPTSHP2PMCDF,15407.25
65.0,16759,16666,16304,16574,3,JPE22230203,Intel Corp,SPTSHP2PMCDF,16575.75
65.0,12987,12931,12987,12987,3,SGD22074873,Finisar,FCBN425QF1C02-OR,12973.0
65.0,17142,17241,16949,17241,5,JPE22200049,Intel Corp,SPTSHP2PMCDF,17143.25
65.0,14218,14423,14354,14285,3,JPA22473440,Intel Corp,SPTSHP2PMCDF,14320.0
65.0,15151,15151,15075,15306,5,JPE21045729,Intel Corp,SPTSHP2PMCDF,15170.75
65.0,17751,17647,17751,17647,38,JPE21033034,Intel Corp,SPTSHP2PMCDF,17699.0
65.0,13452,13824,13953,13392,4,JPA22473707,Intel Corp,SPTSHP2PMCDF,13655.25
65.0,15228,15075,15151,16129,3,JPA22231684,Intel Corp,SPTSHP2PMCDF,15395.75
65.0,16483,16483,16574,16042,12,JPE22200120,Intel Corp,SPTSHP2PMCDF,16395.5
65.0,15706,15873,15957,16042,10,JPE21051927,Intel Corp,SPTSHP2PMCDF,15894.5
65.0,15544,15463,15384,15706,12,JPA22231685,Intel Corp,SPTSHP2PMCDF,15524.25
65.0,15000,15000,15151,14925,39,JPE22230191,Intel Corp,SPTSHP2PMCDF,15019.0
65.0,15544,15789,15789,15706,12,JPA22231695,Intel Corp,SPTSHP2PMCDF,15707.0
