Interface_Temp,Fan_FanTray1Fan1Sensor1,Fan_FanTray2Fan1Sensor1,Fan_FanTray3Fan1Sensor1,Fan_FanTray4Fan1Sensor1,rack_unit,Device_local_sn,SFP_manufacturer,SFP_model
71.5,9090,9090,9090,9090,8,JPE22191975,AOI,AQPLBCQ4EDMA1072
70.9,9316,9287,9287,9287,4,SGD22074185,AOI,AQPLBCQ4EDMA1072
70.7,9900,9836,9868,9868,1,SGD20475409,AOI,AQPLBCQ4EDMA1072
70.5,8571,8620,8547,8595,1,JPE22190547,AOI,AQPLBCQ4EDMA1072
70.4,8571,8547,8547,8571,1,JPE20452190,AOI,AQPLBCQ4EDMA1072
70.4,7334,7334,7334,7334,4,JPE22192032,AOI,AQPLBCQ4EDMA1072
70.2,7263,7228,7263,7246,5,SGD22023266,AOI,AQPLBCQ4EDMA1072
70.2,8130,8152,8130,8174,2,JPE22190484,AOI,AQPLBCQ4EDMA1072
70.2,7556,7556,7500,7537,8,SGD22023276,AOI,AQPLBCQ4EDMA1072
70.2,8620,8620,8645,8645,7,JPE22190600,AOI,AQPLBCQ4EDMA1072
70.2,8571,8620,8547,8595,1,JPE22190547,AOI,AQPLBCQ4EDMA1072
70.2,10452,10416,10416,10416,2,JPE22192104,AOI,AQPLBCQ4EDMA1072
70.2,9771,9803,9803,9803,2,JPE22081096,AOI,AQPLBCQ4EDMA1072
70.2,8571,8595,8595,8595,4,JPE21314471,AOI,AQPLBCQ4EDMA1072
70.2,9523,9554,9523,9584,4,JPE22192774,AOI,AQPLBCQ4EDMA1072
70.2,8000,7894,7915,8000,2,SGD21084776,AOI,AQPLBCQ4EDMA1072
70.2,9900,9900,9933,9900,1,SGD22056726,AOI,AQPLBCQ4EDMA1072
70.2,9933,9900,9868,9868,6,JPE22182481,AOI,AQPLBCQ4EDMA1072
70.1,10563,10526,10489,10526,2,JPE22191931,AOI,AQPLBCQ4EDMA1072
70.1,8333,8379,8356,8333,1,SGD20475201,AOI,AQPLBCQ4EDMA1072
70.1,8241,8264,8310,8264,5,JPE22190541,AOI,AQPLBCQ4EDMA1072
70.1,12875,12931,12875,12820,1,JPE22183196,AOI,AQPLBCQ4EDMA1072
70.1,7812,7853,7832,7812,2,SGD21521595,AOI,AQPLBCQ4EDMA1072
70.1,9433,9404,9433,9404,2,SGD22075474,AOI,AQPLBCQ4EDMA1072
70.1,7915,7894,7936,7915,8,JPE22097914,AOI,AQPLBCQ4EDMA1072
70.1,6960,6944,6912,6960,6,SGD21068325,AOI,AQPLBCQ4EDMA1072
70.1,8196,8219,8174,8174,4,SGD22057477,AOI,AQPLBCQ4EDMA1072
70.1,10000,10000,10000,9966,3,JPE22106779,AOI,AQPLBCQ4EDMA1072
70.1,9090,9090,9090,9090,8,JPE22191975,AOI,AQPLBCQ4EDMA1072
70.1,9584,9554,9493,9584,2,JPE22193080,AOI,AQPLBCQ4EDMA1072
70.1,12048,12048,12048,12048,1,SGD22056675,AOI,AQPLBCQ4EDMA1072
70.1,7425,7500,7407,7389,8,SGD21067689,AOI,AQPLBCQ4EDMA1072
70.1,9771,9803,9803,9803,2,JPE22081096,AOI,AQPLBCQ4EDMA1072
70.1,11363,11406,11363,11363,1,JPE22200302,AOI,AQPLBCQ4EDMA1072
70.1,8771,8797,8797,8797,7,JPE22192720,AOI,AQPLBCQ4EDMA1072
70,9966,9933,9933,9933,7,SGD22074911,AOI,AQPLBCQ4EDMA1072
70,7228,7246,7299,7228,4,JPE22192825,AOI,AQPLBCQ4EDMA1072
70,8042,8021,8108,8042,7,JPE22107034,AOI,AQPLBCQ4EDMA1072
70,6637,6666,6681,6666,4,JPE19322344,AOI,AQPLBCQ4EDMA1072
70,9036,9009,8982,9063,2,SGD22056898,AOI,AQPLBCQ4EDMA1072
70,10204,10204,10169,10238,3,JPE22200326,AOI,AQPLBCQ4EDMA1072
70,10309,10380,10344,10344,1,SGD21521250,AOI,AQPLBCQ4EDMA1072
70,10204,10204,10169,10238,3,JPE22200326,AOI,AQPLBCQ4EDMA1072
70,10600,10638,10676,10676,5,JPE20475110,AOI,AQPLBCQ4EDMA1072
70,9433,9433,9433,9433,1,SGD21521089,AOI,AQPLBCQ4EDMA1072
70,7371,7281,7334,7334,8,SGD22023561,AOI,AQPLBCQ4EDMA1072
70,7614,7712,7633,7653,4,SGD20421618,AOI,AQPLBCQ4EDMA1072
70,8670,8645,8670,8645,4,JPE20471165,AOI,AQPLBCQ4EDMA1072
70,7025,6944,6976,7009,3,SGD20390974,AOI,AQPLBCQ4EDMA1072
70,6578,6666,6666,6622,7,JPE20462277,AOI,AQPLBCQ4EDMA1072
70,7317,7317,7334,7317,4,SGD21068135,AOI,AQPLBCQ4EDMA1072
70,7177,7263,7281,7142,4,SGD20475004,AOI,AQPLBCQ4EDMA1072
70,6802,6864,6833,6864,3,SGD22056857,AOI,AQPLBCQ4EDMA1072
70,8130,8152,8086,8064,4,SGD21172754,AOI,AQPLBCQ4EDMA1072
70,7142,7159,7075,7142,8,SGD21053944,AOI,AQPLBCQ4EDMA1072
70,6726,6666,6666,6726,6,SGD20436289,AOI,AQPLBCQ4EDMA1072
70,8021,7978,8042,8042,2,SGD21520989,AOI,AQPLBCQ4EDMA1072
70,10526,10526,10563,10563,2,JPE21312213,AOI,AQPLBCQ4EDMA1072
70,10000,10033,9966,10033,4,JPE22192025,AOI,AQPLBCQ4EDMA1072
70,8450,8426,8450,8474,5,JPE22097812,AOI,AQPLBCQ4EDMA1072
70,6666,6651,6696,6681,4,SGD20452971,AOI,AQPLBCQ4EDMA1072
70,8928,8928,8955,8955,3,JPE22192026,AOI,AQPLBCQ4EDMA1072
70,8356,8310,8356,8426,3,SGD22023425,AOI,AQPLBCQ4EDMA1072
70,9259,9375,9316,9287,1,SGD22057013,AOI,AQPLBCQ4EDMA1072
70,10989,10948,10948,10948,5,SGD22075025,AOI,AQPLBCQ4EDMA1072
70,10489,10489,10526,10489,1,SGD21521237,AOI,AQPLBCQ4EDMA1072
70,9740,9771,9803,9803,1,SGD20453007,AOI,AQPLBCQ4EDMA1072
70,7936,7915,7894,7894,1,SGD21039804,AOI,AQPLBCQ4EDMA1072
70,6651,6681,6637,6637,6,JPE22193008,AOI,AQPLBCQ4EDMA1072
70,9174,9202,9146,9174,4,SGD22074230,AOI,AQPLBCQ4EDMA1072
69.9,8571,8547,8522,8571,2,HBG2319012D,AOI,AQPLBCQ4EDMA1072
69.9,9554,9523,9584,9554,1,JPE22192101,AOI,AQPLBCQ4EDMA1072
69.9,9868,9803,9803,9836,4,SGD22074528,AOI,AQPLBCQ4EDMA1072
69.9,7792,7751,7751,7712,7,SGD20511865,AOI,AQPLBCQ4EDMA1072
69.9,7444,7500,7481,7481,2,SGD22023674,AOI,AQPLBCQ4EDMA1072
69.9,15228,15228,15151,15151,1,SGD22056998,AOI,AQPLBCQ4EDMA1072
69.9,7500,7500,7537,7518,8,SGD22056746,AOI,AQPLBCQ4EDMA1072
69.9,9009,8955,8982,8982,1,SGD21016702,AOI,AQPLBCQ4EDMA1072
69.9,10452,10416,10416,10416,2,JPE22192104,AOI,AQPLBCQ4EDMA1072
69.9,7009,6928,7025,6928,6,SGD20474996,AOI,AQPLBCQ4EDMA1072
69.9,10869,10948,10869,10909,1,SGD22074143,AOI,AQPLBCQ4EDMA1072
69.9,10452,10489,10416,10452,1,SGD22057099,AOI,AQPLBCQ4EDMA1072
69.9,12000,12048,12048,12000,1,JPE22200539,AOI,AQPLBCQ4EDMA1072
69.9,8571,8595,8547,8547,4,JPE22105849,AOI,AQPLBCQ4EDMA1072
69.9,9646,9646,9646,9646,2,SGD22023602,AOI,AQPLBCQ4EDMA1072
69.9,7125,7125,7159,7058,5,JPE22190528,AOI,AQPLBCQ4EDMA1072
69.9,9433,9463,9463,9493,8,JPE22193033,AOI,AQPLBCQ4EDMA1072
69.9,8620,8620,8645,8645,7,JPE22190600,AOI,AQPLBCQ4EDMA1072
69.9,8849,8797,8670,8849,1,SGD20475217,AOI,AQPLBCQ4EDMA1072
69.9,7594,7594,7594,7594,7,SGD21492083,AOI,AQPLBCQ4EDMA1072
69.9,7894,7894,7915,7874,3,SGD21520986,AOI,AQPLBCQ4EDMA1072
69.8,9554,9523,9493,9493,5,JPE22200552,AOI,AQPLBCQ4EDMA1072
69.8,6802,6741,6802,6741,8,JPE20462419,AOI,AQPLBCQ4EDMA1072
69.8,6437,6437,6410,6437,5,JPE22173184,AOI,AQPLBCQ4EDMA1072
69.8,10489,10489,10526,10489,1,SGD21521237,AOI,AQPLBCQ4EDMA1072
69.8,8595,8595,8595,8595,5,SGD22057357,AOI,AQPLBCQ4EDMA1072
69.8,12345,12552,12500,12605,1,SGD22057282,AOI,AQPLBCQ4EDMA1072
69.8,10563,10526,10489,10526,2,JPE22191931,AOI,AQPLBCQ4EDMA1072
69.8,8241,8264,8310,8264,5,JPE22190541,AOI,AQPLBCQ4EDMA1072
69.8,7653,7653,7672,7653,1,JPE20443623,AOI,AQPLBCQ4EDMA1072
69.8,11194,11235,11235,11152,2,SGD22057242,AOI,AQPLBCQ4EDMA1072
69.8,6666,6651,6696,6681,4,SGD20452971,AOI,AQPLBCQ4EDMA1072
69.8,6578,6666,6666,6622,7,JPE20462277,AOI,AQPLBCQ4EDMA1072
69.8,8174,8086,8108,8086,7,JPE21463552,AOI,AQPLBCQ4EDMA1072
69.7,7812,7853,7832,7812,2,SGD21521595,AOI,AQPLBCQ4EDMA1072
69.7,6960,6944,6976,6993,6,SGD21213982,AOI,AQPLBCQ4EDMA1072
69.7,7751,7751,7772,7712,5,SGD22057342,AOI,AQPLBCQ4EDMA1072
69.7,6976,6993,6993,6976,3,SGD21521056,AOI,AQPLBCQ4EDMA1072
69.7,6396,6369,6423,6437,8,SGD20391141,AOI,AQPLBCQ4EDMA1072
69.7,6864,6928,6864,6896,1,SGD20452480,AOI,AQPLBCQ4EDMA1072
69.7,8219,8196,8174,8196,5,SGD21143936,AOI,AQPLBCQ4EDMA1072
69.7,8928,8849,8875,8875,1,SGD22023438,AOI,AQPLBCQ4EDMA1072
69.7,9174,9174,9174,9146,5,SGD22057271,AOI,AQPLBCQ4EDMA1072
69.7,7092,7092,7125,7092,6,SGD21067598,AOI,AQPLBCQ4EDMA1072
69.7,6741,6833,6864,6880,4,SGD20422104,AOI,AQPLBCQ4EDMA1072
69.7,8902,8875,8849,8928,6,SGD22075488,AOI,AQPLBCQ4EDMA1072
69.7,7812,7853,7832,7812,2,SGD21521595,AOI,AQPLBCQ4EDMA1072
69.7,8746,8746,8746,8771,1,SGD21053636,AOI,AQPLBCQ4EDMA1072
69.7,6896,6912,6880,6944,2,SGD21067924,AOI,AQPLBCQ4EDMA1072
69.6,7731,7614,7633,7712,1,SGD21017509,AOI,AQPLBCQ4EDMA1072
69.6,8797,8797,8823,8823,6,SGD22057375,AOI,AQPLBCQ4EDMA1072
69.6,7334,7334,7334,7334,4,JPE22192032,AOI,AQPLBCQ4EDMA1072
69.6,7142,7159,7075,7142,8,SGD21053944,AOI,AQPLBCQ4EDMA1072
69.6,8571,8595,8571,8571,4,JPE20452810,AOI,AQPLBCQ4EDMA1072
69.6,7352,7352,7371,7352,8,SGD21520832,AOI,AQPLBCQ4EDMA1072
69.6,9836,9836,9836,9836,2,SGD22073980,AOI,AQPLBCQ4EDMA1072
69.6,6578,6593,6593,6622,7,SGD21068371,AOI,AQPLBCQ4EDMA1072
69.6,8264,8310,8310,8241,2,SGD20445557,AOI,AQPLBCQ4EDMA1072
69.6,8264,8310,8310,8241,2,SGD20445557,AOI,AQPLBCQ4EDMA1072
69.5,9740,9771,9803,9803,1,SGD20453007,AOI,AQPLBCQ4EDMA1072
69.5,9433,9404,9433,9404,2,SGD22075474,AOI,AQPLBCQ4EDMA1072
69.5,7125,7125,7159,7058,5,JPE22190528,AOI,AQPLBCQ4EDMA1072
